,LSF_ID,Province,District,Plot No,Plot area(m^2),Organic fertilizer,organic fertilizer used (kg),inorganic fertilizer,inorganic fertilizer type,inorganic fertilizer used (kg),source inorganic fertilizer
45,12005.0,Kigali,Gasabo,11.0,3277.25603614,1,200.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
46,12005.0,Kigali,Gasabo,13.0,4229.1010937,1,600.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
47,12005.0,Kigali,Gasabo,13.0,4229.1010937,1,600.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
48,12005.0,Kigali,Gasabo,13.0,4229.1010937,1,600.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
49,12005.0,Kigali,Gasabo,15.0,99785.819582,1,15000.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
50,12005.0,Kigali,Gasabo,15.0,99785.819582,1,15000.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
51,12005.0,Kigali,Gasabo,15.0,99785.819582,1,15000.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
52,12005.0,Kigali,Gasabo,16.0,608.883018024,1,200.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
53,12005.0,Kigali,Gasabo,16.0,608.883018024,1,200.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
54,12005.0,Kigali,Gasabo,16.0,608.883018024,1,200.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
55,12005.0,Kigali,Gasabo,18.0,0.0,1,2000.0,1,DAP,20500.0,Market
56,12005.0,Kigali,Gasabo,19.0,16096.1727637,0,0.0,1,DAP,20500.0,Government(MINAGRI/RAB/NAEB/District
57,12006.0,Kigali,Gasabo,1.0,70123.4843402,1,2000.0,1,DAP,1000.0,Government(MINAGRI/RAB/NAEB/District
58,12007.0,South,Gasabo,1.0,2125225.25,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
59,12008.0,Kigali,Gasabo,1.0,10300.3184824,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
60,12008.0,Kigali,Gasabo,2.0,13079.1286102,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
61,12008.0,Kigali,Gasabo,3.0,1108.3578025,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
62,12008.0,Kigali,Gasabo,4.0,1468.31276395,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
63,12008.0,Kigali,Gasabo,5.0,79166.2312792,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
64,12008.0,Kigali,Gasabo,7.0,1032.66792818,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
65,12008.0,Kigali,Gasabo,8.0,914.846029406,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
66,12008.0,Kigali,Gasabo,9.0,3414.41074327,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
67,12008.0,Kigali,Gasabo,10.0,3153.45224474,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
68,12008.0,Kigali,Gasabo,11.0,374.472220802,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
69,12008.0,Kigali,Gasabo,15.0,1151.44497636,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
70,12008.0,Kigali,Gasabo,16.0,2125.84185419,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
71,12008.0,Kigali,Gasabo,17.0,763.709619998,1,300.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
72,12008.0,Kigali,Gasabo,17.0,763.709619998,1,300.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
73,12008.0,Kigali,Gasabo,17.0,763.709619998,1,300.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
74,12009.0,Kigali,Gasabo,4.0,219911.338852,1,6000.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
75,12009.0,Kigali,Gasabo,4.0,219911.338852,1,6000.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
76,12009.0,Kigali,Gasabo,4.0,219911.338852,1,6000.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
77,12010.0,Kigali,Gasabo,2.0,1154.18542146,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
78,12010.0,Kigali,Gasabo,3.0,5130.09858287,1,3600.0,1,DAP,14350.0,Government(MINAGRI/RAB/NAEB/District
79,12010.0,Kigali,Gasabo,4.0,657.150264694,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
80,12010.0,Kigali,Gasabo,5.0,14290.3867282,1,2165.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
81,12010.0,Kigali,Gasabo,5.0,14290.3867282,1,2165.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
82,12010.0,Kigali,Gasabo,5.0,14290.3867282,1,2165.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
83,12010.0,Kigali,Gasabo,7.0,5302.59963295,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
84,12010.0,Kigali,Gasabo,9.0,870.404418441,1,1500.0,1,Urea,1775.0,Government(MINAGRI/RAB/NAEB/District
85,12010.0,Kigali,Gasabo,9.0,870.404418441,1,1500.0,1,DAP,4100.0,Government(MINAGRI/RAB/NAEB/District
86,12010.0,Kigali,Gasabo,11.0,1661.68813321,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
87,12010.0,Kigali,Gasabo,13.0,256.737967632,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
88,12010.0,Kigali,Gasabo,15.0,3527.50595516,1,1000.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
89,12010.0,Kigali,Gasabo,15.0,3527.50595516,1,1000.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
90,12010.0,Kigali,Gasabo,15.0,3527.50595516,1,1000.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
91,12010.0,Kigali,Gasabo,16.0,4931.71357167,1,1350.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
92,12010.0,Kigali,Gasabo,16.0,4931.71357167,1,1350.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
93,12010.0,Kigali,Gasabo,16.0,4931.71357167,1,1350.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
94,12010.0,Kigali,Gasabo,17.0,641.297579514,1,450.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
95,12010.0,Kigali,Gasabo,17.0,641.297579514,1,450.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
96,12010.0,Kigali,Gasabo,17.0,641.297579514,1,450.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
97,12010.0,Kigali,Gasabo,18.0,924.631209245,0,0.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
98,12010.0,Kigali,Gasabo,19.0,410.037229194,1,150.0,0,N/Ainorganic fertilizer type,0.0,N/Asource inorganic fertilizer
