,LSF_ID,Province,District,Plot No,Plot area(m^2),Organic fertilizer,organic fertilizer used (kg),inorganic fertilizer,crop_name,DAP,N/Ainorganic fertilizer type,NPK 17-17-17,Urea,Lliquid urea,Other inorganic fertilizer (to specify),NPK 20-10-10,KCL/MOP,NPK 25-5-5
213768,22001.0,South,Gisagara,10.0,14900.5425157,1,4000.0,1,Maize,42.5,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0
228168,22002.0,South,Gisagara,1.0,450272.90625,1,205000.0,1,Maize,2400.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0
231049,22003.0,South,Gisagara,1.0,736061.4375,0,0.0,1,Paddy rice,0.0,0.0,14000.0,7000.0,0.0,0.0,0.0,0.0,0.0
233929,22004.0,South,Gisagara,1.0,1273336.75,1,1519500.0,1,Paddy rice,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236809,22005.0,South,Gisagara,1.0,1175108.875,1,16000.0,1,Paddy rice,0.0,0.0,160000.0,8000.0,0.0,0.0,0.0,0.0,0.0
239707,22006.0,South,Gisagara,5.0,15272.5368397,1,10000.0,1,Coffee,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0
242587,22006.0,South,Gisagara,6.0,62838.843714,1,20000.0,1,Coffee,0.0,0.0,0.0,0.0,0.0,1038.0,0.0,0.0,0.0
245467,22006.0,South,Gisagara,18.0,15438.4036935,1,10000.0,1,Coffee,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0.0,0.0
248347,22006.0,South,Gisagara,24.0,75937.0087759,1,23000.0,1,Coffee,0.0,0.0,0.0,0.0,0.0,482.0,0.0,0.0,0.0
251227,22006.0,South,Gisagara,28.0,19210.9186636,1,2900.0,1,Coffee,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0
254107,22006.0,South,Gisagara,29.0,3366.1193985,1,700.0,1,Coffee,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
256987,22006.0,South,Gisagara,30.0,49491.3443461,1,18000.0,1,Coffee,0.0,0.0,0.0,0.0,0.0,506.0,0.0,0.0,0.0
259867,22006.0,South,Gisagara,34.0,58681.3309346,1,12400.0,1,Coffee,0.0,0.0,0.0,0.0,0.0,309.0,0.0,0.0,0.0
262729,22007.0,South,Gisagara,1.0,4143304.75,0,0.0,1,Paddy rice,0.0,0.0,83456.0,41728.0,0.0,0.0,0.0,0.0,0.0
265608,22008.0,South,Gisagara,1.0,1133312.75,1,37000.0,1,Maize,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268488,22009.0,South,Gisagara,1.0,505215.706417,1,3000.0,1,Maize,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271368,22009.0,South,Gisagara,2.0,924795.761575,0,0.0,1,Maize,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274249,22010.0,South,Gisagara,2.0,1899565.625,0,0.0,1,Paddy rice,0.0,0.0,40000.0,20000.0,0.0,0.0,0.0,0.0,0.0
277128,22011.0,South,Gisagara,1.0,1021967.8125,1,480000.0,1,Maize,9600.0,0.0,0.0,4800.0,0.0,0.0,0.0,0.0,0.0
280009,22012.0,South,Gisagara,1.0,1037479.625,0,0.0,1,Paddy rice,0.0,0.0,21198.0,0.0,0.0,0.0,10599.0,0.0,0.0
